#  x座標 　y座標  波動関数密度 という順で出力してます
     0.80645     0.96774     0.00000
 
     0.83871     0.03226     0.00000
     0.83871     0.06452     0.00000
     0.83871     0.09677     0.00000
     0.83871     0.12903     0.00022
     0.83871     0.16129     0.01019
     0.83871     0.19355     0.04070
     0.83871     0.22581     0.10127
     0.83871     0.25806     0.20218
     0.83871     0.29032     0.35199
     0.83871     0.32258     0.55390
     0.83871     0.35484     0.80064
     0.83871     0.38710     1.07029
     0.83871     0.41935     1.32798
     0.83871     0.45161     1.53280
     0.83871     0.48387     1.64802
     0.83871     0.51613     1.65152
     0.83871     0.54839     1.54260
     0.83871     0.58065     1.34214
     0.83871     0.61290     1.08628
     0.83871     0.64516     0.81604
     0.83871     0.67742     0.56692
     0.83871     0.70968     0.36176
     0.83871     0.74194     0.20865
     0.83871     0.77419     0.10494
     0.83871     0.80645     0.04235
     0.83871     0.83871     0.01065
     0.83871     0.87097     0.00023
     0.83871     0.90323     0.00000
     0.83871     0.93548     0.00000
     0.83871     0.96774     0.00000
 
     0.87097     0.03226     0.00000
     0.87097     0.06452     0.00000
     0.87097     0.09677     0.00000
     0.87097     0.12903     0.00001
     0.87097     0.16129     0.00027
     0.87097     0.19355     0.01139
     0.87097     0.22581     0.04173
     0.87097     0.25806     0.09535
     0.87097     0.29032     0.17566
     0.87097     0.32258     0.28480
     0.87097     0.35484     0.41998
     0.87097     0.38710     0.56834
     0.87097     0.41935     0.71001
     0.87097     0.45161     0.82235
     0.87097     0.48387     0.88536
     0.87097     0.51613     0.88708
     0.87097     0.54839     0.82717
     0.87097     0.58065     0.71696
     0.87097     0.61290     0.57613
     0.87097     0.64516     0.42737
     0.87097     0.67742     0.29093
     0.87097     0.70968     0.18013
     0.87097     0.74194     0.09813
     0.87097     0.77419     0.04310
     0.87097     0.80645     0.01181
     0.87097     0.83871     0.00028
     0.87097     0.87097     0.00001
     0.87097     0.90323     0.00000
     0.87097     0.93548     0.00000
     0.87097     0.96774     0.00000
 
     0.90323     0.03226     0.00000
     0.90323     0.06452     0.00000
     0.90323     0.09677     0.00000
     0.90323     0.12903     0.00000
     0.90323     0.16129     0.00001
     0.90323     0.19355     0.00027
     0.90323     0.22581     0.01041
     0.90323     0.25806     0.03418
     0.90323     0.29032     0.07033
     0.90323     0.32258     0.12062
     0.90323     0.35484     0.18659
     0.90323     0.38710     0.25944
     0.90323     0.41935     0.32844
     0.90323     0.45161     0.38270
     0.90323     0.48387     0.41295
     0.90323     0.51613     0.41370
     0.90323     0.54839     0.38478
     0.90323     0.58065     0.33141
     0.90323     0.61290     0.26273
     0.90323     0.64516     0.18963
     0.90323     0.67742     0.12302
     0.90323     0.70968     0.07198
     0.90323     0.74194     0.03510
     0.90323     0.77419     0.01072
     0.90323     0.80645     0.00028
     0.90323     0.83871     0.00001
     0.90323     0.87097     0.00000
     0.90323     0.90323     0.00000
     0.90323     0.93548     0.00000
     0.90323     0.96774     0.00000
 
     0.93548     0.03226     0.00000
     0.93548     0.06452     0.00000
     0.93548     0.09677     0.00000
     0.93548     0.12903     0.00000
     0.93548     0.16129     0.00000
     0.93548     0.19355     0.00001
     0.93548     0.22581     0.00021
     0.93548     0.25806     0.00673
     0.93548     0.29032     0.01742
     0.93548     0.32258     0.03358
     0.93548     0.35484     0.06215
     0.93548     0.38710     0.09291
     0.93548     0.41935     0.12084
     0.93548     0.45161     0.14223
     0.93548     0.48387     0.15399
     0.93548     0.51613     0.15426
     0.93548     0.54839     0.14296
     0.93548     0.58065     0.12186
     0.93548     0.61290     0.09401
     0.93548     0.64516     0.06309
